,index,record_id,month,day,year,plot,species,sex,wgt
0,0,1,7,16,1977,2,NA,M,
1,1,2,7,16,1977,3,NA,M,
2,2,3,7,16,1977,2,DM,F,
3,3,4,7,16,1977,7,DM,M,
4,4,5,7,16,1977,3,DM,M,
5,5,6,7,16,1977,1,PF,M,
6,6,7,7,16,1977,2,PE,F,
7,7,8,7,16,1977,1,DM,M,
8,8,9,7,16,1977,1,DM,F,
9,9,10,7,16,1977,6,PF,F,
10,0,35539,12,31,2002,15,SF,M,68.0
11,1,35540,12,31,2002,15,PB,F,23.0
12,2,35541,12,31,2002,15,PB,F,31.0
13,3,35542,12,31,2002,15,PB,F,29.0
14,4,35543,12,31,2002,15,PB,F,34.0
15,5,35544,12,31,2002,15,US,,
16,6,35545,12,31,2002,15,AH,,
17,7,35546,12,31,2002,15,AH,,
18,8,35547,12,31,2002,10,RM,F,14.0
19,9,35548,12,31,2002,7,DO,M,51.0
