id,ra,dec,z,r,expRad_r,expAB_r,deVRad_r,deVAB_r
5.87727E+17,1.6643173,-10.6482739,0.640806,20.665646,0.872127,0.637033,1.33098,0.626229
5.87727E+17,2.82616182,-10.77239726,0.230206,17.915766,1.220814,0.59087,2.23341,0.566394
5.87727E+17,2.71412231,-10.77192198,0.220245,17.181545,2.995353,0.512776,6.262263,0.513703
5.87727E+17,3.73738659,-10.83588981,0.212864,17.218691,1.929799,0.764652,4.204408,0.724176
5.87727E+17,0.0859458,-9.80958227,0.312928,17.734489,2.301389,0.519901,4.709913,0.496778
5.87727E+17,1.21287125,-9.92689295,0.32912,18.942219,1.00272,0.81641,1.907326,0.752978
5.87727E+17,1.88705274,-9.9295506,0.43028,19.272007,1.834307,0.439433,3.412963,0.407637
5.87727E+17,1.86770929,-9.41771245,0.218955,17.23143,2.958712,0.714053,6.496881,0.687971
5.87727E+17,3.15208124,-8.9554489,0.332728,19.089832,1.249772,0.383282,1.611968,0.308463
5.87727E+17,3.25212317,-8.99756642,0.432539,19.467955,1.38325,0.529181,2.104308,0.54084
5.87727E+17,0.40778954,14.41971174,0.306383,18.554878,0.988637,0.777777,1.779271,0.789699
5.87727E+17,0.41175189,14.37761318,0.426688,19.280422,1.872488,0.512252,4.072308,0.461092
5.87727E+17,0.68338762,14.40105473,0.425016,19.528753,0.678872,0.82813,1.262117,0.787319
5.87727E+17,0.47949458,14.85244132,0.093732,16.963352,5.074894,0.751267,15.348205,0.728232
5.87727E+17,0.90267416,15.17910727,0.093923,17.667952,3.283737,0.799958,8.935833,0.750081
5.87727E+17,1.51104408,15.79170959,0.179997,17.413231,3.246842,0.78943,7.940034,0.749363
5.87727E+17,1.46191587,15.66224367,0.126195,16.689323,2.416662,0.731457,4.680147,0.772511
5.87727E+17,1.4555002,15.62967066,0.292136,18.408489,1.592743,0.755593,3.674406,0.712801
5.87727E+17,1.46702442,15.71504616,0.216769,17.934607,2.512154,0.855633,6.37334,0.789587
5.87727E+17,1.19696025,16.16695271,0.112456,17.746708,3.163539,0.228315,6.575684,0.177052
5.87727E+17,2.81416362,-10.94987025,0.353337,18.908003,1.066921,0.781804,2.035765,0.678375
5.87727E+17,2.94561747,-10.44141579,0.285345,18.536354,0.84158,0.940742,1.45803,0.957321
5.87727E+17,0.54281043,-10.05529234,0.173048,17.482035,2.581791,0.507127,5.233485,0.497346
5.87727E+17,2.40908431,-9.70716424,0.350565,17.831804,3.193955,0.565811,7.833503,0.572978
5.87727E+17,0.8070994,-9.32573514,0.359453,18.184717,1.535558,0.795164,2.806776,0.85298
5.87727E+17,0.39544278,-8.8652171,0.176472,17.159636,2.29867,0.774594,4.790451,0.768714
5.87727E+17,1.78001073,-8.82228894,0.189169,17.729578,2.799344,0.728784,6.845854,0.699428
5.87727E+17,3.44206337,-8.87182868,0.330538,17.987953,1.932897,0.926885,3.982734,0.950665
5.87727E+17,3.8995031,-8.79027475,0.40971,18.992348,1.005529,0.92726,1.807297,0.87932
5.87727E+17,4.34804743,-8.86064876,0.177034,17.510864,2.378685,0.590249,4.987567,0.550004
5.87731E+17,0.90443609,13.83089018,0.397413,18.979216,1.208247,0.808981,2.608579,0.752285
5.87731E+17,2.71300054,14.28213951,0.299954,18.414013,1.205601,0.7654,2.226987,0.740167
5.87731E+17,0.37225844,14.72646324,0.098054,17.376873,4.249426,0.232187,9.130732,0.201357
5.87731E+17,1.21627146,14.60432023,0.141425,17.705677,2.012339,0.376091,3.65724,0.340357
5.87731E+17,4.84977993,14.65308914,0.303661,17.974493,2.01545,0.715387,5.056663,0.640919
5.87731E+17,1.49215041,14.99360636,0.348716,19.227043,0.808262,0.862311,1.405216,0.839629
5.87731E+17,2.7631177,15.17546056,0.080958,16.786448,4.541759,0.75951,12.512089,0.749948
5.87731E+17,0.49344242,15.50405774,0.132275,17.561462,2.06123,0.434596,3.797807,0.384854
5.87731E+17,3.06596921,15.47134468,0.155164,17.462891,2.354288,0.819227,5.117589,0.80391
5.87731E+17,1.0557562,15.84440831,0.116605,16.896339,2.831719,0.551964,5.132391,0.559811
5.87731E+17,4.17251207,-0.49573753,0.34677,18.499468,1.027464,0.940548,2.144388,0.875364
5.87731E+17,1.33088677,-0.09020821,0.138438,17.195267,4.246949,0.8339,11.825801,0.832854
5.87731E+17,3.67443006,-0.04855571,0.065623,16.75729,5.776691,0.199989,13.843786,0.188162
5.87731E+17,3.89890339,-0.16243283,0.068048,17.310284,3.002149,0.915928,7.940568,0.91022
5.87731E+17,4.22881372,-0.08822854,0.032847,14.782598,10.459641,0.535116,26.709007,0.585892
5.87731E+17,4.66346486,-0.07419919,0.319149,18.012455,1.857111,0.724703,3.781459,0.75841
5.87731E+17,0.5076277,0.34698653,0.300779,17.437927,1.953309,0.891288,4.420432,0.883748
5.87731E+17,0.62891785,0.30463473,0.299827,18.12911,1.163857,0.812689,1.841319,0.825131
5.87731E+17,2.72430655,0.80353707,0.114233,17.386028,4.355306,0.557006,12.046633,0.528548
5.87731E+17,3.73553658,1.13988133,0.150854,16.944443,4.049934,0.606947,9.890641,0.584934
5.88013E+17,182.9609535,52.49765159,0.062399,16.755606,5.293659,0.462989,12.322847,0.462611
5.88016E+17,3.18188729,-0.70759445,0.343839,18.57029,0.873782,0.932178,1.566806,0.882303
5.88016E+17,5.21483604,-0.75690258,0.346444,18.605467,1.909163,0.525942,3.358053,0.531301
5.88016E+17,5.30403379,-0.71431582,0.37805,18.328466,1.569601,0.641523,3.159329,0.633834
5.88016E+17,1.84124913,-0.35698807,0.243834,19.757578,1.366875,0.427884,2.501837,0.360623
5.88016E+17,3.1208188,-0.22235487,0.404705,18.988609,1.164816,0.674967,2.148437,0.700623
5.88016E+17,4.67225407,-0.40224446,0.170197,17.710247,2.475842,0.730094,5.391265,0.720072
5.88016E+17,5.11134959,-0.29263016,0.111707,17.492231,2.166677,0.581416,4.107909,0.534607
5.88016E+17,3.83775774,0.14949527,0.440947,18.992125,1.016566,0.782712,1.99828,0.721007
5.88016E+17,2.04027391,1.0059714,0.331331,18.587835,0.972572,0.756203,1.507113,0.758378
5.88016E+17,2.82090622,1.03999139,0.156789,17.028629,2.885536,0.872538,6.468731,0.88723
5.88291E+17,3.11117494,14.13340163,0.136976,17.77673,3.598873,0.840772,9.890893,0.829273
5.88291E+17,4.6063689,15.35671308,0.480496,19.331287,1.28262,0.928864,2.824517,0.926462
5.88291E+17,5.28197107,15.28249864,0.374568,19.199841,0.991964,0.730027,1.620099,0.709679
5.88291E+17,3.09997994,15.36900507,0.11668,17.700808,3.011852,0.27807,5.961925,0.21775
5.87724E+17,10.86557029,13.75054482,0.19637,17.215681,3.684127,0.540931,6.584686,0.548164
5.87724E+17,10.84683557,14.18129803,0.093057,16.480844,5.530701,0.785761,17.153351,0.761596
5.87724E+17,14.81053348,14.13806939,0.363551,19.075714,0.976798,0.767137,1.455489,0.752579
5.87724E+17,14.93267158,14.56775466,-1.20E-03,16.830584,20.396399,0.607025,3.798422,0.999733
5.87724E+17,11.23626884,14.93411204,-1.33E-04,17.356825,8.214198,0.670426,22.179382,0.646457
5.87724E+17,12.55647258,15.00775404,0.180946,17.383259,3.592238,0.837514,8.208313,0.855239
5.87724E+17,16.4066335,15.27266536,0.202559,17.613361,3.261045,0.978513,7.927947,0.92615
5.87724E+17,16.0633401,15.78198709,0.089899,17.434568,2.927873,0.59652,6.372816,0.551739
5.87724E+17,11.14606447,14.03377246,0.133291,17.46563,2.43686,0.705001,5.530283,0.646648
5.87724E+17,12.02400511,14.42639624,0.27543,17.740345,2.34859,0.910295,4.459603,0.923092
5.87724E+17,14.7643224,14.75970329,0.176924,17.061043,3.060217,0.516013,6.589836,0.482082
